timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-02,169.08,169.34,168.2302,168.84,167.839290906152,49013991,0.0,1.0
2025-04-03,168.79,170.68,168.58,169.65,168.644490062952,45571129,0.0,1.0
2025-04-04,170.29,171.92,168.82,168.82,167.819409445491,53355055,0.0,1.0
2025-04-05,169.59,170.39,168.95,169.58,168.574904950636,41975776,0.0,1.0
2025-04-08,169.03,169.2,168.24,168.45,167.451602423249,37216858,0.0,1.0
2025-04-09,168.7,170.08,168.35,169.67,168.664371523613,42231444,0.0,1.0
2025-04-10,168.8,169.09,167.11,167.78,166.785573491082,49709336,0.0,1.0
2025-04-11,168.34,175.46,168.16,175.04,174.002543711282,91070275,0.0,1.0
2025-04-12,174.26,178.36,174.21,176.55,175.503593991241,101670886,0.0,1.0
2025-04-15,175.36,176.63,172.5,172.69,171.666472083531,73531773,0.0,1.0
2025-04-16,171.75,173.76,168.27,169.38,168.376090344019,73711235,0.0,1.0
2025-04-17,169.61,170.65,168.0,168.0,167.004269558361,50901210,0.0,1.0
2025-04-18,168.03,168.64,166.55,167.04,166.049959446599,43122903,0.0,1.0
2025-04-19,166.21,166.4,164.075,165.0,164.022050459104,68149377,0.0,1.0
2025-04-22,165.515,167.26,164.77,165.84,164.857071806896,48116443,0.0,1.0
2025-04-23,165.35,167.05,164.92,166.9,165.910789221967,49537761,0.0,1.0
2025-04-24,166.54,169.3,166.21,169.02,168.018224052108,48251835,0.0,1.0
2025-04-25,169.525,170.61,168.1511,169.89,168.883067590892,50558329,0.0,1.0
2025-04-26,169.88,171.34,169.18,169.3,168.296564501372,44838354,0.0,1.0
2025-04-29,173.37,176.03,173.1,173.5,172.471671240331,68169419,0.0,1.0
2025-04-30,173.33,174.99,170.0,170.33,169.32045972545,65934776,0.0,1.0
2025-05-01,169.58,172.705,169.11,169.3,168.296564501372,50383147,0.0,1.0
2025-05-02,172.51,173.415,170.89,173.03,172.004456914781,94214915,0.0,1.0
